"Študenti terciarnega izobraževanja po: ŠTUDIJSKO LETO, STATISTIÈNA"
"REGIJA, VRSTA IZOBRAŽEVANJA , SPOL"

"2007/08"
" ";"SLOVENIJA"
" ";" ";"Višje strokovno"
" ";" ";" ";"Ženske";3133
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";17
" ";" ";" ";"Ženske";46
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";151
" ";" ";" ";"Ženske";281
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";48
" ";" ";" ";"Ženske";19
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";244
" ";" ";" ";"Ženske";439
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";105
" ";" ";" ";"Ženske";86
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";61
" ";" ";" ";"Ženske";59
" ";"Koroška"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";419
" ";" ";" ";"Ženske";399
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";289
" ";" ";" ";"Ženske";352
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";229
" ";" ";" ";"Ženske";270
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";225
" ";" ";" ";"Ženske";311
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";488
" ";" ";" ";"Ženske";886
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";15
" ";" ";" ";"Ženske";15
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";38
" ";" ";" ";"Ženske";73
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";7
" ";" ";" ";"Ženske";4
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";67
" ";" ";" ";"Ženske";104
" ";" ";"Doktorsko (prejšnje)"
