"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Jugovzhodna Slovenija";11980;6101;5879
" ";" ";"Osrednjeslovenska";44118;22875;21243
" ";" ";"Gorenjska";17381;8998;8383
" ";" ";"Primorsko-notranjska";4128;2078;2050
" ";" ";"Goriška";9087;4633;4454
" ";" ";"Obalno-kraška";7649;3951;3698
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";161051;82642;78409
" ";" ";"Pomurska";8637;4322;4315
" ";" ";"Podravska";23445;11992;11453
" ";" ";"Koroška";5788;2901;2887
" ";" ";"Savinjska";21263;11033;10230
" ";" ";"Zasavska";3039;1579;1460
" ";" ";"Posavska";5487;2784;2703
" ";" ";"Jugovzhodna Slovenija";11851;6016;5835
" ";" ";"Osrednjeslovenska";43664;22580;21084
" ";" ";"Gorenjska";17237;8911;8326
" ";" ";"Primorsko-notranjska";4078;2044;2034
" ";" ";"Goriška";8995;4585;4410
" ";" ";"Obalno-kraška";7567;3895;3672
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1724;1078;646
" ";" ";"Pomurska";104;69;35
" ";" ";"Podravska";281;176;105
" ";" ";"Koroška";60;38;22
" ";" ";"Savinjska";223;129;94
" ";" ";"Zasavska";45;22;23
" ";" ";"Posavska";60;39;21
" ";" ";"Jugovzhodna Slovenija";129;85;44
" ";" ";"Osrednjeslovenska";454;295;159
" ";" ";"Gorenjska";144;87;57
" ";" ";"Primorsko-notranjska";50;34;16
" ";" ";"Goriška";92;48;44
" ";" ";"Obalno-kraška";82;56;26
"2013/14"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";165036;84859;80177
" ";" ";"Pomurska";8724;4407;4317
" ";" ";"Podravska";23879;12280;11599
" ";" ";"Koroška";5754;2901;2853
" ";" ";"Savinjska";21652;11156;10496
" ";" ";"Zasavska";3100;1618;1482
" ";" ";"Posavska";5576;2852;2724
" ";" ";"Jugovzhodna Slovenija";12137;6197;5940
" ";" ";"Osrednjeslovenska";45282;23402;21880
" ";" ";"Gorenjska";17644;9135;8509
" ";" ";"Primorsko-notranjska";4231;2156;2075
" ";" ";"Goriška";9206;4692;4514
" ";" ";"Obalno-kraška";7851;4063;3788
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";163229;83733;79496
" ";" ";"Pomurska";8623;4339;4284
" ";" ";"Podravska";23590;12103;11487
" ";" ";"Koroška";5699;2868;2831
" ";" ";"Savinjska";21425;11024;10401
" ";" ";"Zasavska";3051;1592;1459
