"","Leto","Regija","Vrsta","Spol","Stevilo"
"223","2007/08","Primorsko-notranjska","Visokošolsko strokovno (prejšnje)","Ženske",393
"224","2007/08","Primorsko-notranjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",83
"225","2007/08","Primorsko-notranjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",198
"226","2007/08","Primorsko-notranjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",79
"227","2007/08","Primorsko-notranjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",170
"228","2007/08","Primorsko-notranjska","Visokošolsko univerzitetno (prejšnje)","Moški",373
"229","2007/08","Primorsko-notranjska","Visokošolsko univerzitetno (prejšnje)","Ženske",677
"230","2007/08","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",5
"231","2007/08","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",24
"232","2007/08","Primorsko-notranjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",51
"233","2007/08","Primorsko-notranjska","Specialistično","Moški",10
"234","2007/08","Primorsko-notranjska","Specialistično","Ženske",14
"235","2007/08","Primorsko-notranjska","Magistrsko (prejšnje)","Moški",38
"236","2007/08","Primorsko-notranjska","Magistrsko (prejšnje)","Ženske",58
"237","2007/08","Primorsko-notranjska","Doktorsko (prejšnje)","Moški",11
"238","2007/08","Primorsko-notranjska","Doktorsko (prejšnje)","Ženske",11
"239","2007/08","Primorsko-notranjska","Doktorsko (3. bolonjska stopnja)","Moški",2
"240","2007/08","Primorsko-notranjska","Doktorsko (3. bolonjska stopnja)","Ženske",4
"241","2007/08","Goriška","Višje strokovno","Moški",449
"242","2007/08","Goriška","Višje strokovno","Ženske",329
"243","2007/08","Goriška","Visokošolsko strokovno (prejšnje)","Moški",890
"244","2007/08","Goriška","Visokošolsko strokovno (prejšnje)","Ženske",793
"245","2007/08","Goriška","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",241
"246","2007/08","Goriška","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",430
"247","2007/08","Goriška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",238
"248","2007/08","Goriška","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",494
"249","2007/08","Goriška","Visokošolsko univerzitetno (prejšnje)","Moški",981
"250","2007/08","Goriška","Visokošolsko univerzitetno (prejšnje)","Ženske",1710
"251","2007/08","Goriška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",6
"252","2007/08","Goriška","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",9
"253","2007/08","Goriška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",84
"254","2007/08","Goriška","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",113
"255","2007/08","Goriška","Specialistično","Moški",19
"256","2007/08","Goriška","Specialistično","Ženske",19
"257","2007/08","Goriška","Magistrsko (prejšnje)","Moški",100
"258","2007/08","Goriška","Magistrsko (prejšnje)","Ženske",135
"259","2007/08","Goriška","Doktorsko (prejšnje)","Moški",29
"260","2007/08","Goriška","Doktorsko (prejšnje)","Ženske",29
"261","2007/08","Goriška","Doktorsko (3. bolonjska stopnja)","Moški",4
"262","2007/08","Goriška","Doktorsko (3. bolonjska stopnja)","Ženske",6
